asset_type,median_ppsf,sold_ppsf_median,median_price,median_sqft,n,n_sold,n_live,assume_rent_psf,assume_vacancy,assume_opex_ratio,assume_cap_rate,typical_noi_psf,typical_implied_cap
Multifamily,177.0,170.0,1897500,10126,90,21,16,18,0.06,0.42,0.055,9.81,0.0524
Office,197.0,68.0,1200000,6840,29,3,5,34,0.15,0.45,0.08,15.9,0.0906
Retail,247.0,295.0,1990000,8108,25,6,5,23,0.08,0.22,0.0675,16.5,0.0672
Industrial,150.0,177.0,1737500,11800,34,11,3,12,0.05,0.15,0.0625,9.69,0.0658
Mixed Use,136.0,96.0,1200000,8798,33,5,9,16,0.1,0.35,0.0675,9.36,0.0686
Hotel,347.0,,8000000,20004,11,0,2,100,0.3,0.62,0.085,26.6,0.0665
Restaurant,365.0,182.0,2074250,7167,8,3,1,33,0.1,0.2,0.065,23.76,0.0821
Flex,345.0,,2198672,6378,3,0,1,20,0.08,0.2,0.07,14.72,0.0427
Special Purpose,319.0,,3247500,12957,2,0,1,22,0.15,0.3,0.075,13.09,0.0522
Commercial (other),195.0,178.0,1757500,8357,96,20,13,22,0.12,0.3,0.07,13.55,0.0644
